Nama Tempat,Latitude,Longitude,Sumber
Masjid Istiqlal Padang,-0.929379,100.3543411,Photon: Masjid Istiqlal
SDN 26 Rimbo Kaluang Padang,,,Di luar Padang: SDN 26 Punco Ruyung
Dinas PU Padang,,,Di luar Padang: UPT Dinas PU Pengairan
Hotel Ibis Padang,-0.9293961,100.3631857,Photon: hotel ibis Padang
Universitas Tamansiswa Padang,-0.9294954,100.365614,Photon: Universitas Tamansiswa Padang
Bappeda Sumatera Barat,,,Di luar Padang: Bappeda
Masjid Raya Sumatera Barat,-0.9242036,100.3625626,Photon: Masjid Raya Sumatera Barat
SMAN 3 Padang,,,Di luar Padang: SMAN 3 Padang Panjang
SMKN 5 Padang,,,Di luar Padang: SMKN 57
SMPN 7 Padang,,,Di luar Padang: Jalan Komplek SMPN 1 Bati-bati
STMIK Indonesia Padang,-0.9435782,100.3542844,Photon: AIM STMIK AMIK Jayanusa
SMK Teknologi Plus Padang,,,TIDAK DITEMUKAN
SMAN 1 Padang,,,Di luar Padang: SMAN 1 Padang Sago
SMPN 25 Padang,-0.9637773,100.3723617,Photon: SMPN 35 PADANG
Telkomsel Padang,-0.9165704,100.3590508,Photon: Gedung telkomsel Padang
SDN 15 Lolong Padang,-0.939492,100.3586506,Photon: SDN 06 & SDN 15 PADANG PASIR
Ditjen Perbendaharaan Padang,,,Di luar Padang: Kanwil Ditjen PerbendaharaanSulbar
STIKES Alifah Padang,-0.9147422,100.3590353,Photon: AKBID Dan STIKES Alifah Padang
BPK Sumatera Barat,,,Di luar Padang: Pusat Informasi Kebudayaan BPK 3 Sumatera Barat
SMP Pertiwi Padang,-0.9112318,100.3588107,Photon: SMP Pertiwi 2 Padang
Masjid Darul Mukhlisin Padang,-0.921613,100.3568463,Photon: Masjid Darul Mukhlisin
STIE AKBP Padang,-0.9155447,100.3581323,"Photon: AKBP-STIE ""KBP"" Padang"
PT Suka Fajar Padang,-0.940519,100.3552332,Photon: PT SUKA FAJAR
Universitas Bung Hatta Padang,-0.9064878,100.3435287,Photon: Universitas Bung Hatta
Astra Daihatsu Padang,-0.9080037,100.3529296,Photon: Showroom Daihatsu
SDN 14 Belanti Padang,-0.909946,100.3542993,Photon: SPBU 14.251.583
DPRD Sumatera Barat,-0.9069741,100.3518794,Photon: DPRD Sumatera Barat
Dinas PSDA Sumatera Barat,-0.9050295,100.3515688,Photon: PSDA Sumatera Barat
Villa Hadis Padang,-0.9163835,100.3717949,Photon: blok b.b 1 komplek villa gunung
Sekolah Al Azhar 32 Padang,,,TIDAK DITEMUKAN
SJS Plaza Padang,-0.9040936,100.3585244,Photon: SJS Plaza
SDN 20 Padang,-1.0288075,100.4016002,Photon: SDN 20 LABUHAN TAROK
Institut Teknologi Padang,-0.9002343,100.3721145,"Photon: Jalan Teknologi VII , Surau Gadang , nanggalo , padang"
SMPN 12 Padang,-0.9637773,100.3723617,Photon: SMPN 35 PADANG
Masjid Muhsinin Padang,-1.0295995,100.41268,Photon: Mushola Al Muhsinin
