Nama Tempat,Latitude,Longitude,Alamat OSM
"Mesjid Istiqlal, Padang",,,TIDAK DITEMUKAN
"Mesjid Istiqlal, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 26 Rimbo Kaluang, Padang",,,TIDAK DITEMUKAN
"SDN 26 Rimbo Kaluang, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Dinas PU Sumatera Barat, Padang",-0.4714045,100.4161239,"UPT Dinas PU Pengairan, Jalan Ahmad Yani, Ngalau, Padang Panjang Timur, Padang Panjang, Sumatera Barat, Sumatera, 27111, Indonesia"
"Dinas PU Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Hotel Ibis, Padang",-0.9296627,100.3629835,"HOTEL IBIS, Jalan Taman Siswa, Rimbo Kaluang, Padang, Sumatera Barat, Sumatera, 25139, Indonesia"
"Hotel Ibis, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Universitas Taman Siswa, Padang",-0.9294954,100.3656140,"Universitas Tamansiswa Padang, Jalan Taman Siswa, Rimbo Kaluang, Padang, Sumatera Barat, Sumatera, 25139, Indonesia"
"Universitas Taman Siswa, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Bappeda Sumatera Barat, Padang",,,TIDAK DITEMUKAN
"Bappeda Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Mesjid Raya Sumatera Barat, Padang",-0.8985132,100.3510022,"Mesjid Raya Al-Azhar UNP, Jalan Profesor Dokter Hamka , Air Tawar , Padang utara, Airtawar Selatan, Padang, Sumatera Barat, Sumatera, 25132, Indonesia"
"Mesjid Raya Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
SMAN 3 Padang,-0.9195296,100.3642040,"SMA Negeri 3 Padang, Jalan Gunung Semeru, Gunung Pangilun, Padang, Sumatera Barat, Sumatera, 25136, Indonesia"
SMAN 3 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
SMKN 5 Padang,-0.4654740,100.4091030,"SMKN 1 Padang Panjang, 5, Guguk Malintang, Padang Panjang Timur, Padang Panjang, Sumatera Barat, Sumatera, 27111, Indonesia"
SMKN 5 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
SMPN 7 Padang,-3.6006120,114.7069387,"Jalan Komplek SMPN 1 Bati-bati, DUSUN 1 DESA PADANG KEC. BATI BATI, BATAS DESA PADANG KEC. BATI BATI, Tanah Laut, Kalimantan Selatan, Kalimantan, 70852, Indonesia"
SMPN 7 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"STMIK Indonesia, Padang",,,TIDAK DITEMUKAN
"STMIK Indonesia, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMK Teknologi, Padang",,,TIDAK DITEMUKAN
"SMK Teknologi, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
SMAN 1 Padang,-0.9197248,100.3539762,"Gedung Utama SMAN 1 Padang, 11, Jalan Belanti Raya, Lolong Belanti, Padang, Sumatera Barat, Sumatera, 25136, Indonesia"
SMAN 1 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
SMPN 25 Padang,-0.9192777,100.3575402,"SMP Negeri 25 Padang, Jalan Beringin, Lolong Belanti, Padang, Sumatera Barat, Sumatera, 25136, Indonesia"
SMPN 25 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Kantor Telkomsel, Padang",,,TIDAK DITEMUKAN
"Kantor Telkomsel, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 15 Lolong, Padang",,,TIDAK DITEMUKAN
"SDN 15 Lolong, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Ditjen Perbendaharaan Sumatera Barat, Padang",,,TIDAK DITEMUKAN
"Ditjen Perbendaharaan Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"STIKES Alifah, Padang",-0.9147422,100.3590353,"AKBID Dan STIKES Alifah Padang, Jalan Khatib Sulaiman, Ulak Karang Utara, Padang, Sumatera Barat, Sumatera, 25133, Indonesia"
"STIKES Alifah, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"BPK Perwakilan Sumatera Barat, Padang",,,TIDAK DITEMUKAN
"BPK Perwakilan Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMP Pertiwi, Padang",-0.9112318,100.3588107,"SMP Pertiwi 2 Padang, Jalan Perjuangan III, Ulak Karang Utara, Padang, Sumatera Barat, Sumatera, 25134, Indonesia"
"SMP Pertiwi, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Mesjid Darul Mukhlisin, Padang",,,TIDAK DITEMUKAN
"Mesjid Darul Mukhlisin, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"STIE AKBP, Padang",-0.9152105,100.3580619,"AKBP-STIE ""KBP"" Padang, Jalan Pramuka II, Ulak Karang Utara, Padang, Sumatera Barat, Sumatera, 25133, Indonesia"
"STIE AKBP, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"PT Sukafajar, Padang",,,TIDAK DITEMUKAN
"PT Sukafajar, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Pasca Sarjana UBH, Padang",,,TIDAK DITEMUKAN
