Nama Tempat,Latitude,Longitude,Status
"Masjid Istiqlal, Purus, Padang",,,GAGAL
"Masjid Istiqlal, Purus, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 26 Rimbo Kaluang, Padang",,,GAGAL
"SDN 26 Rimbo Kaluang, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Dinas PU Provinsi Sumatera Barat, Taman Siswa, Padang",,,GAGAL
"Dinas PU Provinsi Sumatera Barat, Taman Siswa, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Hotel Ibis Padang,,,GAGAL
Hotel Ibis Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Universitas Tamansiswa Padang,,,GAGAL
Universitas Tamansiswa Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Bappeda Provinsi Sumatera Barat, Khatib Sulaiman, Padang",,,GAGAL
"Bappeda Provinsi Sumatera Barat, Khatib Sulaiman, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Masjid Raya Sumatera Barat,,,GAGAL
Masjid Raya Sumatera Barat,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMAN 3 Padang, Gunung Pangilun",,,GAGAL
"SMAN 3 Padang, Gunung Pangilun",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMKN 5 Padang, Lolong Belanti",,,GAGAL
"SMKN 5 Padang, Lolong Belanti",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMPN 7 Padang, S Parman",,,GAGAL
"SMPN 7 Padang, S Parman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"STMIK Indonesia Padang, Khatib Sulaiman",,,GAGAL
"STMIK Indonesia Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMK Teknologi Plus Padang, Belanti",,,GAGAL
"SMK Teknologi Plus Padang, Belanti",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMAN 1 Padang, Belanti",,,GAGAL
"SMAN 1 Padang, Belanti",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMPN 25 Padang, Beringin",,,GAGAL
"SMPN 25 Padang, Beringin",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Graha Telkomsel Padang, Khatib Sulaiman",,,GAGAL
"Graha Telkomsel Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 15 Lolong, Padang",,,GAGAL
"SDN 15 Lolong, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Kanwil Ditjen Perbendaharaan Provinsi Sumbar, Khatib Sulaiman",,,GAGAL
"Kanwil Ditjen Perbendaharaan Provinsi Sumbar, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"STIKES Alifah Padang, Khatib Sulaiman",,,GAGAL
"STIKES Alifah Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"BPK Perwakilan Provinsi Sumbar, Khatib Sulaiman",,,GAGAL
"BPK Perwakilan Provinsi Sumbar, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
SMP Pertiwi Padang,,,GAGAL
SMP Pertiwi Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Masjid Darul Mukhlisin Padang,,,GAGAL
Masjid Darul Mukhlisin Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"STIE AKBP Padang, Khatib Sulaiman",,,GAGAL
"STIE AKBP Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"PT Suka Fajar Padang, Khatib Sulaiman",,,GAGAL
"PT Suka Fajar Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Pascasarjana Universitas Bung Hatta, Ulak Karang",,,GAGAL
"Pascasarjana Universitas Bung Hatta, Ulak Karang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Astra Daihatsu Padang, Khatib Sulaiman",,,GAGAL
"Astra Daihatsu Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 14 Belanti, Padang",,,GAGAL
"SDN 14 Belanti, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"DPRD Provinsi Sumatera Barat, Khatib Sulaiman",,,GAGAL
"DPRD Provinsi Sumatera Barat, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Dinas PSDA Provinsi Sumatera Barat, Khatib Sulaiman",,,GAGAL
"Dinas PSDA Provinsi Sumatera Barat, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Villa Hadis, Padang",,,GAGAL
"Villa Hadis, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Perguruan Islam Al Azhar 32 Padang, Khatib Sulaiman",,,GAGAL
"Perguruan Islam Al Azhar 32 Padang, Khatib Sulaiman",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SJS Plaza Padang, Lapai",,,GAGAL
"SJS Plaza Padang, Lapai",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SDN 20 Berok Belanti, Padang",,,GAGAL
"SDN 20 Berok Belanti, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Institut Teknologi Padang, Lapai",,,GAGAL
"Institut Teknologi Padang, Lapai",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SMPN 12 Padang, Nanggalo",,,GAGAL
"SMPN 12 Padang, Nanggalo",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Masjid Muhsinin, Padang",,,GAGAL
"Masjid Muhsinin, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
